
#loss_tot   loss_par  loss_prob  validation_tot ... ...

1.8311	1.0726	0.7585	1.1912	0.7107	0.4805

1.04	0.6034	0.4366	0.9406	0.5392	0.4014

0.9015	0.512	0.3895	0.869	0.4967	0.3723

0.8396	0.4761	0.3635	0.8206	0.4697	0.3509

0.8073	0.458	0.3493	0.7955	0.4549	0.3406

0.7848	0.446	0.3388	0.7823	0.4489	0.3333

0.7699	0.4388	0.3311	0.7669	0.4416	0.3254

0.7587	0.4338	0.3249	0.7602	0.4392	0.321

0.7504	0.4301	0.3203	0.7521	0.4355	0.3166

0.7432	0.427	0.3161	0.746	0.433	0.313

0.7386	0.4256	0.313	0.7446	0.4365	0.3081

0.7328	0.4234	0.3095	0.7384	0.4301	0.3083

0.7279	0.4214	0.3066	0.7296	0.4255	0.3041

0.7246	0.4202	0.3043	0.7324	0.4278	0.3047

0.7204	0.4184	0.302	0.7321	0.428	0.3041

0.7172	0.4174	0.2998	0.7275	0.4283	0.2993

0.7155	0.4164	0.299	0.7318	0.4294	0.3025

0.713	0.4156	0.2974	0.7278	0.4262	0.3015

0.7106	0.4145	0.2961	0.7172	0.4217	0.2955

0.7081	0.4135	0.2946	0.7171	0.4219	0.2952



0.7082	0.4149	0.2932	0.7014	0.412	0.2893

0.7007	0.4118	0.2889	0.6972	0.4104	0.2867

0.696	0.4097	0.2862	0.696	0.4099	0.286

0.6916	0.4077	0.2839	0.6919	0.4077	0.2843

0.6909	0.4071	0.2838	0.6862	0.4043	0.2819

0.6861	0.4049	0.2812	0.6842	0.404	0.2802

0.6843	0.404	0.2802	0.6826	0.4031	0.2796

0.6815	0.4027	0.2788	0.6819	0.4037	0.2782

0.6801	0.4021	0.278	0.6776	0.4009	0.2767

0.6775	0.4008	0.2767	0.6741	0.3997	0.2745

0.6687	0.3967	0.272	0.6611	0.3931	0.268

0.6621	0.3938	0.2684	0.6681	0.3956	0.2725

0.6584	0.3922	0.2662	0.668	0.3971	0.2709

0.6555	0.3909	0.2646	0.6512	0.3888	0.2624

0.6528	0.3895	0.2633	0.6559	0.3916	0.2643

0.6523	0.3892	0.2631	0.6518	0.3895	0.2622

0.6495	0.3881	0.2614	0.6526	0.3896	0.2631

0.6481	0.3874	0.2607	0.6534	0.3902	0.2633






0.6468	0.3867	0.2601	0.6439	0.3855	0.2583

0.6468	0.3866	0.2602	0.643	0.3848	0.2582

0.645	0.386	0.259	0.6452	0.3872	0.258

0.644	0.3855	0.2585	0.6436	0.3847	0.2589

0.6436	0.3851	0.2585	0.6425	0.3852	0.2574

0.6423	0.3845	0.2579	0.642	0.3843	0.2578

0.6414	0.3841	0.2573	0.6381	0.3822	0.256

0.6406	0.3836	0.257	0.6419	0.3852	0.2567

0.6401	0.3834	0.2567	0.6393	0.3824	0.2569

0.6395	0.3831	0.2564	0.6382	0.3831	0.2551

0.639	0.3827	0.2563	0.6359	0.3811	0.2548

0.6382	0.3823	0.2559	0.6372	0.3822	0.255

0.6377	0.3821	0.2556	0.6381	0.3832	0.255

0.6373	0.3819	0.2554	0.6367	0.3814	0.2554

0.6369	0.3816	0.2553	0.6535	0.3908	0.2626

0.6365	0.3814	0.2551	0.639	0.3825	0.2565

0.636	0.3812	0.2548	0.6389	0.3829	0.256

